Rank,Name,Net worth (USD),Company,Sources of Wealth
1,Savitri Jindal,17.5 billion,"JSW Group, Jindal Steel & Power","Steel, energy, cement and infrastructure"
2,Rohiqa Cyrus Mistry,7.0 billion,Shapoorji Pallonji Group,"Construction, real estate"
3,Rekha Jhunjhunwala,5.1 billion,Rare Enterprises,Investments
4,Leena Tewari,3.4 billion,USV Private Limited,Pharmaceuticals
5,Smita Crishna-Godrej,2.8 billion,Godrej Group,"Consumer goods, real estate"
